epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69403,0.93184,4.21025,0.92107,0.00554,0.69063,0.03608,0.02441,0.59975,3.82875,0.82004,0.000125,0.000125,0.000125
2,13.2068,0.89622,2.31511,0.85893,0.01094,0.97821,0.21274,0.14897,0.81391,3.38218,0.83912,0.000257303,0.000257303,0.000257303
3,18.325,0.83425,1.73274,0.85744,0.00606,0.6732,0.41357,0.33744,0.74976,3.38583,0.85382,0.00038416,0.00038416,0.00038416
4,23.0965,0.82211,1.54812,0.87192,0.00515,0.52723,0.30252,0.24319,0.7152,3.41368,0.85952,0.000505572,0.000505572,0.000505572
5,27.0898,0.83513,1.59284,0.87737,0.31248,0.37691,0.46008,0.35056,0.76981,3.19715,0.85894,0.00062154,0.00062154,0.00062154
6,31.1337,0.79871,1.46234,0.85576,0.94691,0.18897,0.46268,0.37487,0.68368,2.97862,0.85208,0.000732063,0.000732063,0.000732063
7,36.49,0.80095,1.38907,0.86067,0.8453,0.2854,0.48953,0.39591,0.6427,2.61021,0.84548,0.00083714,0.00083714,0.00083714
8,40.409,0.80535,1.35334,0.85969,0.89863,0.30275,0.55145,0.48161,0.67263,2.46179,0.85332,0.000936772,0.000936772,0.000936772
9,44.1195,0.80713,1.35329,0.87124,0.88732,0.38237,0.54083,0.45351,0.6937,2.59438,0.86223,0.00103096,0.00103096,0.00103096
10,49.2695,0.79663,1.26674,0.85116,0.88986,0.44237,0.60347,0.50991,0.69353,1.92414,0.86582,0.00102725,0.00102725,0.00102725
11,53.572,0.80568,1.21604,0.85777,0.54176,0.5026,0.62786,0.55311,0.64659,1.9488,0.8613,0.0010025,0.0010025,0.0010025
12,57.7292,0.83327,1.24678,0.8606,0.41032,0.62012,0.64285,0.55277,0.60641,1.70653,0.8491,0.00097775,0.00097775,0.00097775
13,62.4075,0.72727,1.21248,0.85409,0.37262,0.7976,0.68341,0.58563,0.62593,1.34026,0.85145,0.000953,0.000953,0.000953
14,67.2928,0.73338,1.13085,0.85345,0.44212,0.79238,0.69324,0.61823,0.57952,1.2979,0.84476,0.00092825,0.00092825,0.00092825
15,71.0858,0.70562,1.08589,0.84111,0.58728,0.77574,0.75543,0.67711,0.55406,1.44584,0.84313,0.0009035,0.0009035,0.0009035
16,75.822,0.72078,1.1242,0.85349,0.60451,0.71712,0.78908,0.69659,0.5708,0.94014,0.84475,0.00087875,0.00087875,0.00087875
17,80.6099,0.69494,1.08981,0.8414,0.76333,0.77996,0.87108,0.7805,0.55031,0.92125,0.83984,0.000854,0.000854,0.000854
18,84.5097,0.67324,1.0817,0.83622,0.58362,0.7854,0.73664,0.68728,0.53893,0.89682,0.83532,0.00082925,0.00082925,0.00082925
19,88.7254,0.68655,0.992,0.83628,0.71818,0.84532,0.8568,0.79069,0.57379,0.82539,0.83795,0.0008045,0.0008045,0.0008045
20,94.1239,0.69881,1.03887,0.84614,0.77804,0.75932,0.84119,0.76561,0.5482,0.83128,0.83823,0.00077975,0.00077975,0.00077975
21,97.9828,0.6823,1.05671,0.83303,0.70045,0.77913,0.8548,0.752,0.53017,0.8157,0.83621,0.000755,0.000755,0.000755
22,101.74,0.70537,1.04728,0.84515,0.72782,0.91146,0.89377,0.7833,0.55045,0.76696,0.83682,0.00073025,0.00073025,0.00073025
23,106.965,0.70336,1.03597,0.84296,0.69917,0.90248,0.91513,0.81326,0.58205,0.78561,0.84136,0.0007055,0.0007055,0.0007055
24,111.031,0.67817,0.96946,0.85164,0.77408,0.92048,0.92692,0.82299,0.52097,0.69106,0.83688,0.00068075,0.00068075,0.00068075
25,115.097,0.67741,0.9235,0.83442,0.8424,0.8999,0.90193,0.78905,0.57388,0.74811,0.83948,0.000656,0.000656,0.000656
26,119.426,0.6413,0.92552,0.83095,0.82657,0.83,0.92738,0.81156,0.54419,0.72966,0.83636,0.00063125,0.00063125,0.00063125
27,124.466,0.68283,0.89842,0.82995,0.8489,0.89781,0.93355,0.84126,0.51722,0.69519,0.83055,0.0006065,0.0006065,0.0006065
28,128.468,0.64701,0.83606,0.83458,0.8275,0.88824,0.94278,0.85148,0.52533,0.75574,0.83244,0.00058175,0.00058175,0.00058175
